ID,Name,Sex,Age,LastPrimary,Latitude,Longitude,Education,HHIncome,ReligiousAffil,Support24,TopIssue,RRPetition
68,Voter 68,F,55,R,41.09197,-73.67249,Some College,NR,Protestant,R,NR,NS
69,Voter 69,M,56,NR,41.05089,-73.58313,HS,Under 50k,Other,D,Womens,Signed
70,Voter 70,F,58,R,41.00999,-73.65387,NR,Under 50k,Protestant,R,Parents,NS
71,Voter 71,F,59,NR,41.05556,-73.68483,NR,Under 50k,Protestant,R,RFree,NS
72,Voter 72,M,60,NR,41.05504,-73.57691,HS,Under 50k,Protestant,R,Crime,NS
73,Voter 73,F,69,R,41.04423,-73.58553,NR,50k-100k,Protestant,R,NR,NS
74,Voter 74,M,70,R,41.03529,-73.60221,HS,Under 50k,Protestant,R,NR,NS
75,Voter 75,M,49,R,41.01437,-73.58911,NR,50k-100k,Other,D,NR,NS
76,Voter 76,F,53,R,41.06889,-73.60746,NR,Under 50k,Protestant,R,Parents,NS
77,Voter 77,F,59,NR,41.02157,-73.56382,Some College,Under 50k,Protestant,R,Crime,NS
78,Voter 78,M,63,NR,41.02776,-73.60826,NR,Under 50k,Protestant,R,NR,NS
79,Voter 79,M,64,NR,41.03347,-73.60047,HS,Under 50k,NR,R,NR,NS
80,Voter 80,M,68,NR,41.02683,-73.62729,Some College,NR,Protestant,R,NR,NS
81,Voter 81,F,69,R,41.05375,-73.58888,HS,Under 50k,Protestant,R,NR,NS
82,Voter 82,F,71,R,41.05352,-73.58766,Bachelor,Under 50k,Protestant,R,NR,NS
83,Voter 83,M,77,NR,41.01864,-73.63882,HS,Under 50k,Protestant,R,RFree,NS
84,Voter 84,F,77,NR,41.08318,-73.64626,Some College,Under 50k,Protestant,R,NR,NS
85,Voter 85,F,83,R,41.03372,-73.59086,Some College,Under 50k,Protestant,R,Womens,Signed
86,Voter 86,M,87,R,41.04569,-73.59801,HS,Under 50k,NR,D,Crime,NS
87,Voter 87,F,88,NR,41.03672,-73.61841,Bachelor,Under 50k,Catholic,R,NR,NS
88,Voter 88,M,96,NR,41.08547,-73.70497,HS,Under 50k,Protestant,R,NR,NS
89,Voter 89,M,34,R,41.07357,-73.66308,HS,Under 50k,Protestant,R,NR,NS
90,Voter 90,M,51,NR,41.03388,-73.58793,HS,Under 50k,Protestant,R,RFree,NS
91,Voter 91,M,58,NR,41.07917,-73.66197,HS,NR,NR,R,Parents,NS
92,Voter 92,M,58,NR,41.03403,-73.61955,NR,Under 50k,NR,R,Parents,NS
93,Voter 93,F,58,NR,41.04039,-73.61843,NR,Under 50k,Protestant,R,NR,NS
94,Voter 94,F,62,NR,41.05199,-73.56716,NR,Under 50k,Protestant,R,RFree,NS
95,Voter 95,M,63,NR,41.04482,-73.57663,NR,Under 50k,Protestant,R,NR,NS
96,Voter 96,F,67,NR,41.02151,-73.58151,HS,Under 50k,Protestant,R,RFree,NS
97,Voter 97,M,77,NR,41.03427,-73.62301,HS,Under 50k,Protestant,R,NR,NS
98,Voter 98,F,93,NR,41.05559,-73.56859,HS,Under 50k,Catholic,R,NR,NS
99,Voter 99,M,54,NR,41.03489,-73.66831,HS,Under 50k,NR,D,NR,NS
100,Voter 100,F,58,R,41.02796,-73.61988,HS,Under 50k,Protestant,R,NR,NR
101,Voter 101,F,61,R,41.02509,-73.56862,HS,Under 50k,Protestant,R,NR,NS
102,Voter 102,M,64,R,41.07806,-73.60276,HS,Under 50k,Protestant,R,Crime,NS
103,Voter 103,F,67,NR,41.02787,-73.57001,NR,NR,Catholic,R,NR,NS
104,Voter 104,F,71,R,41.02755,-73.58647,NR,Under 50k,Other,R,NR,NS
105,Voter 105,F,73,R,41.03121,-73.61092,HS,Under 50k,Protestant,R,NR,NS
106,Voter 106,M,75,R,41.03532,-73.56373,Some College,Under 50k,Protestant,R,RFree,NS
107,Voter 107,M,76,R,41.02282,-73.65729,HS,Under 50k,Protestant,R,Parents,NS
108,Voter 108,M,85,R,41.08672,-73.59864,HS,Under 50k,Protestant,R,NR,NS
109,Voter 109,F,51,NR,41.04927,-73.58771,NR,Under 50k,NR,R,NR,NS
110,Voter 110,F,51,NR,41.03688,-73.56522,NR,Under 50k,Protestant,R,Parents,NS
111,Voter 111,M,62,NR,41.06748,-73.61016,Some College,Under 50k,Protestant,D,RFree,NS
112,Voter 112,F,81,R,41.04524,-73.59493,NR,Under 50k,Protestant,R,Crime,NS
113,Voter 113,F,47,R,41.06017,-73.63057,Some College,Under 50k,Protestant,R,RFree,NS
114,Voter 114,F,48,R,41.07721,-73.62851,NR,Under 50k,Protestant,R,RFree,NS
115,Voter 115,F,57,NR,41.00126,-73.65605,Bachelor,NR,Catholic,R,NR,NS
116,Voter 116,M,70,R,41.03018,-73.65394,Some College,Under 50k,Protestant,R,RFree,NS
117,Voter 117,M,74,R,41.01101,-73.65348,Bachelor,Under 50k,Protestant,R,NR,NS
118,Voter 118,F,77,NR,41.13873,-73.63858,NR,Under 50k,Protestant,R,NR,NS
119,Voter 119,M,79,NR,41.01679,-73.58564,Some College,50k-100k,Protestant,D,RFree,NS
120,Voter 120,F,79,NR,41.02464,-73.56183,NR,Under 50k,Protestant,R,RFree,NS
121,Voter 121,F,88,NR,40.99948,-73.65299,Some College,Under 50k,Protestant,R,NR,NS
122,Voter 122,M,94,NR,41.10136,-73.68051,HS,Under 50k,NR,R,NR,NS
123,Voter 123,F,35,R,41.03671,-73.63263,Bachelor,Under 50k,Protestant,R,RFree,NS
124,Voter 124,M,36,R,41.06306,-73.58448,HS,50k-100k,NR,R,NR,NS
125,Voter 125,F,47,NR,41.04718,-73.57156,HS,Under 50k,Protestant,R,Crime,NS
126,Voter 126,F,60,R,41.00628,-73.65637,Bachelor,Under 50k,Protestant,R,RFree,NS
127,Voter 127,F,62,NR,41.05865,-73.60078,HS,NR,Protestant,R,NR,NS
128,Voter 128,M,62,NR,41.00092,-73.65908,NR,NR,Protestant,R,RFree,NS
129,Voter 129,M,66,R,41.02618,-73.5558,HS,Under 50k,NR,R,NR,NS
130,Voter 130,F,67,R,41.06937,-73.62203,HS,Under 50k,Protestant,R,Parents,NS
131,Voter 131,F,70,R,41.01699,-73.65226,HS,Under 50k,Protestant,R,NR,NS
132,Voter 132,M,71,NR,41.07716,-73.63933,NR,Under 50k,Protestant,R,NR,NS
133,Voter 133,M,75,NR,41.03313,-73.63228,NR,Under 50k,Protestant,R,NR,NS
134,Voter 134,M,76,R,41.04044,-73.58322,HS,Under 50k,NR,R,Parents,NS
135,Voter 135,M,76,NR,41.02854,-73.62216,NR,Under 50k,Protestant,R,NR,NS
136,Voter 136,F,77,NR,41.03304,-73.62618,Bachelor,Under 50k,Protestant,R,NR,NS
137,Voter 137,F,86,NR,41.01126,-73.62979,Bachelor,Under 50k,Protestant,R,NR,NS
138,Voter 138,F,90,NR,41.04166,-73.67585,Bachelor,50k-100k,Catholic,R,Education,NS
139,Voter 139,M,91,NR,41.02752,-73.62031,HS,Under 50k,Protestant,R,NR,NS
140,Voter 140,F,48,R,41.03962,-73.59918,NR,Under 50k,Protestant,R,Parents,NS
141,Voter 141,F,51,R,41.04389,-73.61123,NR,Under 50k,Protestant,R,NR,NS
142,Voter 142,M,54,R,41.00985,-73.65207,HS,Under 50k,Protestant,R,Parents,NS
143,Voter 143,M,63,R,41.03293,-73.61694,HS,Under 50k,NR,R,NR,NS
144,Voter 144,M,65,R,41.02994,-73.62811,HS,Under 50k,Protestant,R,NR,NS
145,Voter 145,M,71,R,41.01007,-73.65163,HS,Under 50k,Protestant,R,Economy,NS
146,Voter 146,M,73,R,41.08765,-73.63188,HS,Under 50k,Protestant,R,NR,NS
147,Voter 147,M,83,NR,41.08464,-73.65363,Some College,Under 50k,Protestant,R,RFree,NS
148,Voter 148,F,86,NR,41.10864,-73.69749,NR,Under 50k,NR,R,NR,NS
149,Voter 149,F,36,R,41.01932,-73.56238,Some College,Under 50k,Protestant,R,NR,NS
150,Voter 150,F,40,R,41.10277,-73.69957,Bachelor,Under 50k,Protestant,R,NR,NS
151,Voter 151,F,49,R,41.03334,-73.62785,Bachelor,Under 50k,NR,R,Parents,NS
152,Voter 152,F,54,NR,41.05158,-73.57971,HS,Under 50k,Protestant,R,NR,NS
153,Voter 153,F,62,R,41.02082,-73.55822,HS,Under 50k,Other,R,Crime,NR
154,Voter 154,M,63,R,41.03487,-73.58632,Bachelor,Under 50k,Catholic,R,Environment,NR
155,Voter 155,F,65,NR,41.07242,-73.63803,NR,Under 50k,Protestant,R,RFree,NS
156,Voter 156,F,68,NR,41.02152,-73.63027,Bachelor,Under 50k,Protestant,R,NR,NS
157,Voter 157,F,83,NR,41.03175,-73.66744,HS,NR,Protestant,R,NR,NS
158,Voter 158,F,60,R,41.10155,-73.70804,NR,Under 50k,Protestant,R,Crime,NS
159,Voter 159,M,64,R,41.04688,-73.64688,HS,Under 50k,Protestant,R,NR,NS
160,Voter 160,F,85,NR,41.03304,-73.62618,NR,Under 50k,Protestant,R,NR,NS
161,Voter 161,F,89,R,41.05685,-73.57862,Bachelor,Under 50k,Protestant,R,NR,NS
162,Voter 162,F,43,R,41.02993,-73.56038,HS,Under 50k,Protestant,R,NR,NS
163,Voter 163,F,47,R,41.02694,-73.65435,HS,Under 50k,Protestant,R,RFree,NS
164,Voter 164,F,48,NR,41.03377,-73.64399,HS,NR,Protestant,R,Parents,NS
165,Voter 165,F,49,R,41.04913,-73.58101,HS,Under 50k,Protestant,R,NR,NS
166,Voter 166,M,56,NR,41.03285,-73.62603,Bachelor,Under 50k,NR,R,NR,NS
167,Voter 167,M,57,NR,41.05312,-73.58895,Some College,Under 50k,Protestant,R,NR,NS
168,Voter 168,M,63,NR,40.99628,-73.65871,Some College,Under 50k,NR,R,NR,NS
169,Voter 169,M,64,R,41.05822,-73.59543,NR,Under 50k,Protestant,R,NR,NS
170,Voter 170,F,68,R,41.06296,-73.58085,HS,Under 50k,Protestant,R,NR,NS
171,Voter 171,M,70,R,41.03989,-73.59689,Some College,Under 50k,Protestant,R,NR,NS
172,Voter 172,M,70,R,41.03532,-73.56373,Some College,Under 50k,Protestant,R,Parents,NS
173,Voter 173,M,77,NR,41.04272,-73.56788,Some College,Under 50k,Protestant,R,NR,NS
174,Voter 174,M,93,NR,41.00218,-73.65316,Some College,Under 50k,Protestant,R,RFree,NS
175,Voter 175,F,46,NR,41.10509,-73.69705,NR,Under 50k,Protestant,R,Parents,NS
176,Voter 176,F,51,R,41.00755,-73.65207,Some College,Under 50k,Protestant,R,NR,NS
177,Voter 177,F,63,R,41.03884,-73.57837,HS,Under 50k,Protestant,R,NR,NS
178,Voter 178,F,67,R,41.03285,-73.62603,Some College,Under 50k,Protestant,R,RFree,NS
179,Voter 179,F,69,R,41.03611,-73.56576,Some College,Under 50k,Protestant,R,NR,NS
180,Voter 180,F,73,R,41.02229,-73.66034,Some College,Under 50k,Protestant,R,Crime,NS
181,Voter 181,F,77,R,41.04487,-73.57078,Some College,Under 50k,Other,R,NR,NS
182,Voter 182,F,80,R,41.01973,-73.55788,NR,50k-100k,NR,R,NR,NS
183,Voter 183,F,57,R,41.10054,-73.59997,Some College,Under 50k,Protestant,R,NR,NS
184,Voter 184,F,61,NR,41.02167,-73.65141,Some College,Under 50k,Protestant,R,Crime,NS
185,Voter 185,F,68,R,41.05347,-73.66909,NR,50k-100k,Catholic,R,Environment,NS
186,Voter 186,F,70,NR,41.04744,-73.66343,NR,NR,Protestant,R,NR,NS
187,Voter 187,F,40,R,41.03304,-73.62618,HS,Under 50k,Protestant,R,NR,NS
188,Voter 188,F,50,R,41.02888,-73.62633,HS,Under 50k,Protestant,R,NR,NS
189,Voter 189,M,51,R,41.06847,-73.63331,HS,Under 50k,Protestant,R,NR,NS
190,Voter 190,F,56,NR,41.02712,-73.62311,HS,Under 50k,NR,R,Parents,NS
191,Voter 191,F,61,R,41.02496,-73.56132,HS,Under 50k,Protestant,R,NR,NS
192,Voter 192,M,67,NR,41.02974,-73.56575,Some College,Under 50k,Protestant,R,NR,NS
193,Voter 193,M,70,R,41.03662,-73.59523,NR,Under 50k,Protestant,R,RFree,NS
194,Voter 194,M,72,R,41.08272,-73.64604,Bachelor,Under 50k,Protestant,R,Crime,NS
195,Voter 195,M,75,R,41.02955,-73.56435,HS,Under 50k,Protestant,R,NR,NS
196,Voter 196,F,82,NR,41.03334,-73.62785,HS,Under 50k,Protestant,R,NR,NS
197,Voter 197,F,87,NR,41.03038,-73.61925,Bachelor,Under 50k,Protestant,R,NR,NS
198,Voter 198,M,89,R,41.08289,-73.67156,Bachelor,Under 50k,Protestant,R,RFree,NS
199,Voter 199,F,42,R,41.00644,-73.65019,NR,Under 50k,NR,R,NR,NS
200,Voter 200,M,49,R,41.04969,-73.56796,Bachelor,Under 50k,NR,R,NR,NS
201,Voter 201,M,51,NR,41.01726,-73.63913,HS,Under 50k,Protestant,R,Economy,NS
202,Voter 202,F,55,R,41.07393,-73.65757,Some College,Under 50k,Protestant,R,RFree,NS
203,Voter 203,F,57,R,41.03524,-73.63872,Bachelor,Under 50k,Protestant,R,NR,NS
204,Voter 204,M,63,NR,41.03561,-73.58765,Some College,Under 50k,Other,D,Economy,NS
205,Voter 205,M,63,R,41.08295,-73.60464,Bachelor,Under 50k,Protestant,R,NR,NS
206,Voter 206,M,63,NR,41.06452,-73.61959,NR,Under 50k,Protestant,R,NR,NS
207,Voter 207,M,65,R,41.03008,-73.57484,Some College,Under 50k,Protestant,R,NR,NS
208,Voter 208,F,70,NR,41.04706,-73.56966,HS,Under 50k,Protestant,R,Parents,NS
209,Voter 209,F,74,R,41.05382,-73.62197,HS,Under 50k,Protestant,R,NR,NS
210,Voter 210,M,74,NR,41.04536,-73.58992,Some College,Under 50k,Protestant,R,NR,NS
211,Voter 211,F,85,R,41.04706,-73.56966,Bachelor,Under 50k,NR,R,Crime,NS
212,Voter 212,F,38,R,41.03631,-73.58093,Bachelor,Under 50k,Protestant,R,NR,NS
213,Voter 213,M,46,R,41.10136,-73.68051,Some College,Under 50k,Protestant,R,Crime,NS
214,Voter 214,F,47,R,41.00623,-73.64607,HS,Under 50k,Protestant,R,NR,NS
215,Voter 215,F,62,NR,41.01822,-73.56845,Bachelor,Under 50k,Protestant,R,NR,NS
216,Voter 216,F,80,R,41.03956,-73.60101,NR,50k-100k,Protestant,R,RFree,NS
217,Voter 217,F,91,NR,41.03109,-73.57926,Some College,Under 50k,Protestant,R,RFree,NS
218,Voter 218,M,44,R,41.04564,-73.60464,HS,Under 50k,Protestant,R,Parents,NS
219,Voter 219,F,44,R,41.02518,-73.65135,HS,Under 50k,Protestant,R,NR,NS
220,Voter 220,F,47,R,41.10796,-73.61648,Bachelor,Under 50k,Catholic,R,Education,NS
221,Voter 221,F,55,NR,41.03857,-73.57093,Bachelor,50k-100k,Protestant,R,NR,NS
222,Voter 222,F,55,R,41.01717,-73.64243,NR,Under 50k,Protestant,R,NR,NS
223,Voter 223,M,71,NR,41.04706,-73.56966,Bachelor,50k-100k,NR,R,Environment,NS
224,Voter 224,M,71,R,41.03335,-73.58477,Some College,50k-100k,Protestant,R,NR,NS
225,Voter 225,M,75,NR,41.02821,-73.55592,HS,50k-100k,Protestant,R,RFree,NS
226,Voter 226,M,90,R,41.01936,-73.55845,HS,Under 50k,NR,R,RFree,NS
227,Voter 227,F,99,NR,41.04395,-73.62273,Some College,Under 50k,Protestant,R,RFree,NS
228,Voter 228,M,101,NR,41.04258,-73.58532,HS,50k-100k,Protestant,R,Economy,NS
229,Voter 229,F,102,NR,41.05208,-73.60745,HS,Under 50k,Protestant,R,RFree,NS
230,Voter 230,F,45,NR,41.06937,-73.62203,NR,50k-100k,Protestant,R,Crime,NR
231,Voter 231,F,49,R,41.09359,-73.61393,HS,50k-100k,Protestant,R,NR,NS
232,Voter 232,M,63,NR,41.12181,-73.67011,HS,50k-100k,Protestant,D,NR,NS
233,Voter 233,M,64,R,41.04229,-73.58558,NR,50k-100k,NR,R,NR,NS
234,Voter 234,F,72,NR,41.09286,-73.66078,HS,50k-100k,Protestant,R,NR,NS
235,Voter 235,M,82,R,41.04017,-73.67144,HS,50k-100k,Protestant,R,RFree,NS
236,Voter 236,F,87,R,41.01774,-73.65464,HS,50k-100k,Protestant,R,NR,NS
237,Voter 237,F,98,R,41.06483,-73.57455,Some College,50k-100k,Protestant,D,NR,NS
238,Voter 238,F,47,R,41.00005,-73.65613,NR,50k-100k,Catholic,R,Education,NR
239,Voter 239,M,56,R,41.04499,-73.57064,HS,50k-100k,Protestant,R,RFree,NS
240,Voter 240,F,62,R,41.03204,-73.60224,NR,50k-100k,Protestant,R,RFree,NS
241,Voter 241,F,66,NR,41.01752,-73.65746,HS,50k-100k,Protestant,R,NR,NS
242,Voter 242,F,67,R,41.02811,-73.64348,NR,50k-100k,Protestant,R,NR,NS
243,Voter 243,F,98,NR,41.05002,-73.58155,Some College,50k-100k,Protestant,D,NR,NS
244,Voter 244,M,50,R,41.02958,-73.56571,HS,50k-100k,Protestant,R,NR,NR
245,Voter 245,F,51,NR,41.05418,-73.58274,NR,50k-100k,Protestant,R,NR,NS
246,Voter 246,F,58,R,41.06493,-73.60312,HS,50k-100k,Protestant,R,Crime,NS
247,Voter 247,M,59,NR,41.04619,-73.58524,NR,50k-100k,Protestant,R,NR,NS
248,Voter 248,F,67,R,41.10517,-73.67342,NR,50k-100k,Protestant,D,NR,NR
249,Voter 249,M,68,R,41.02788,-73.56001,HS,50k-100k,Protestant,R,NR,NS
250,Voter 250,F,74,R,41.10707,-73.66004,HS,50k-100k,Protestant,R,NR,NS
251,Voter 251,F,77,R,41.10982,-73.65516,HS,50k-100k,Protestant,R,NR,NS
252,Voter 252,M,82,R,41.03078,-73.57754,HS,50k-100k,Protestant,R,NR,NS
253,Voter 253,F,90,NR,41.09283,-73.66191,Some College,50k-100k,Protestant,R,RFree,NS
254,Voter 254,F,46,R,41.00751,-73.65178,Bachelor,100k-200k,Protestant,D,NR,Signed
255,Voter 255,F,54,NR,41.04748,-73.67894,HS,50k-100k,Protestant,R,RFree,NS
256,Voter 256,M,55,R,41.06013,-73.57929,HS,50k-100k,Protestant,R,RFree,NS
257,Voter 257,M,61,NR,41.03441,-73.66164,HS,50k-100k,Protestant,R,NR,NS
258,Voter 258,M,64,R,41.06684,-73.60098,NR,50k-100k,Protestant,R,NR,NS
259,Voter 259,M,68,NR,41.04396,-73.57242,HS,50k-100k,Protestant,R,NR,NS
260,Voter 260,F,69,R,41.02397,-73.64671,NR,50k-100k,Protestant,R,NR,NS
261,Voter 261,M,78,R,41.04297,-73.59049,HS,50k-100k,Protestant,R,Parents,NS
262,Voter 262,M,84,NR,41.06079,-73.67096,HS,50k-100k,Protestant,D,NR,NS
263,Voter 263,M,94,R,41.04795,-73.58053,HS,50k-100k,Protestant,R,Crime,NS
264,Voter 264,F,96,NR,41.02587,-73.63546,Some College,50k-100k,Protestant,R,NR,NS
265,Voter 265,M,53,NR,41.03421,-73.61038,HS,50k-100k,Protestant,R,NR,NS
266,Voter 266,M,54,R,41.03607,-73.61577,HS,50k-100k,Protestant,R,RFree,NR
267,Voter 267,F,55,NR,41.00632,-73.62697,HS,50k-100k,Protestant,R,NR,NS
268,Voter 268,F,76,R,41.04233,-73.62058,NR,50k-100k,Protestant,R,NR,NS
269,Voter 269,M,79,NR,41.01569,-73.65431,NR,50k-100k,Protestant,R,Crime,NS
270,Voter 270,F,56,R,41.03667,-73.57963,HS,50k-100k,Protestant,R,NR,NS
271,Voter 271,M,58,R,41.10155,-73.70804,HS,50k-100k,Protestant,R,NR,NS
272,Voter 272,M,65,NR,41.03334,-73.62785,NR,50k-100k,Protestant,R,Parents,NS
273,Voter 273,F,66,NR,41.05177,-73.58302,NR,50k-100k,Protestant,R,NR,NS
274,Voter 274,F,73,NR,41.02445,-73.56491,HS,50k-100k,Protestant,R,Parents,NS
275,Voter 275,F,78,R,41.06602,-73.63327,HS,50k-100k,Protestant,R,NR,NS
276,Voter 276,F,87,R,41.02948,-73.58533,HS,50k-100k,Protestant,D,Crime,NS
277,Voter 277,M,39,R,41.05161,-73.58364,HS,50k-100k,Protestant,R,NR,NS
278,Voter 278,M,52,NR,41.03532,-73.56373,HS,50k-100k,Protestant,R,NR,NR
279,Voter 279,M,53,NR,41.01764,-73.65124,HS,50k-100k,Protestant,R,NR,NR
280,Voter 280,F,57,NR,41.02833,-73.56901,HS,50k-100k,Protestant,R,Economy,NS
281,Voter 281,F,63,NR,41.07615,-73.59983,HS,50k-100k,NR,R,NR,NS
282,Voter 282,M,63,NR,41.06036,-73.58173,NR,50k-100k,Protestant,R,NR,NS
283,Voter 283,M,65,R,41.02034,-73.56396,HS,50k-100k,Protestant,R,NR,NS
284,Voter 284,M,66,R,41.11151,-73.67759,HS,50k-100k,Protestant,D,Crime,NS
285,Voter 285,M,66,R,41.06238,-73.60477,HS,50k-100k,Protestant,D,NR,NS
286,Voter 286,M,68,NR,41.02009,-73.65354,HS,50k-100k,Protestant,R,RFree,NS
287,Voter 287,M,70,R,41.02167,-73.65141,NR,50k-100k,Protestant,R,NR,NS
288,Voter 288,M,55,NR,41.03532,-73.56373,HS,50k-100k,Protestant,R,NR,NS
